City,Car Name,Price,Year,Mileage,Fuel Type,Transmission,Car URL
New Delhi,2023 BMW iX xDrive40,"₹88 Lakh
Compare","15,940 kms",Electric,Automatic,N/A,https://www.cardekho.com/used-maruti+cars+in+new-delhi
New Delhi,2023 BMW iX xDrive40,"₹88 Lakh
Compare","15,940 kms",Electric,Automatic,N/A,https://www.cardekho.com/used-car-details/used-Bmw-ix-xdrive40-cars-Gurgaon_0b21df1e-43bf-4b59-b44d-6dfe3b3b0607.htm?adId=3868&adType=1
New Delhi,2023 Kia Seltos GTX Plus,"₹15.50 Lakh
Compare","14,100 kms",Petrol,Manual,N/A,https://www.cardekho.com/used-car-details/used-Kia-seltos-gtx-plus-cars-New-Delhi_ca1fbe14-a2cd-40d1-bba9-0289050ccb91.htm?adId=2326&adType=41
New Delhi,2024 Toyota Rumion V AT,"₹13 Lakh
Compare","8,100 kms",Petrol,Automatic,N/A,https://www.cardekho.com/used-car-details/used-Toyota-rumion-v-at-cars-New-Delhi_f466de5f-bd3a-45e5-9cad-aab5515bdaf2.htm
New Delhi,Under ₹2 Lakh,Price not available,N/A,N/A,N/A,N/A,https://www.cardekho.com/used-cars+0-lakh-to-2-lakh+in+new-delhi
New Delhi,2024 Maruti Alto K10 VXi S-CNG BSVI,"₹5.75 Lakh
Compare","21,000 kms",CNG,Manual,N/A,https://www.cardekho.com/used-car-details/used-Maruti-alto-k10-vxi-s-cng-bsvi-cars-New-Delhi_431a5dae-436b-400f-a81f-681652e49e99.htm
New Delhi,2016 Ford Ecosport 1.5 Diesel Trend,"₹3.95 Lakh
Compare","71,000 kms",Diesel,Manual,N/A,https://www.cardekho.com/used-car-details/used-Ford-ecosport-15-diesel-trend-cars-New-Delhi_a7eb031c-9e09-4709-927e-611304b974d7.htm
New Delhi,2017 Mahindra XUV500 W4,"₹5.75 Lakh
Compare","73,000 kms",Diesel,Manual,N/A,https://www.cardekho.com/used-car-details/used-Mahindra-xuv500-w4-cars-New-Delhi_d730b82e-ad7e-4cbb-ac07-44586bfa9444.htm?adId=3210&adType=41
New Delhi,2017 Mahindra Scorpio S6 Plus 7 Seater,"₹7.25 Lakh
Compare","91,000 kms",Diesel,Manual,N/A,https://www.cardekho.com/used-car-details/used-Mahindra-scorpio-s6-plus-7-seater-cars-New-Delhi_2f7345a2-9853-4d17-b4e6-62fc7954ab5e.htm
New Delhi,2022 Mahindra XUV700 AX7 Diesel AT BSVI,"₹23 Lakh
Compare","34,000 kms",Diesel,Automatic,N/A,https://www.cardekho.com/used-car-details/used-Mahindra-xuv700-ax7-diesel-at-bsvi-cars-New-Delhi_c94ede13-bb12-4cd9-8135-90853f97fef6.htm
New Delhi,2022 Toyota Innova Crysta 2.4 ZX 7 STR,"₹25.90 Lakh
Compare","19,000 kms",Diesel,Manual,N/A,https://www.cardekho.com/used-car-details/used-Toyota-innova-crysta-24-zx-7-str-cars-New-Delhi_c355ca48-f635-4d1a-816d-320f86c074fd.htm
New Delhi,"Budget Cars
₹2 Lakh-₹5 Lakh",Price not available,N/A,N/A,N/A,N/A,https://www.cardekho.com/used-cars+2-lakh-to-5-lakh+in+new-delhi
New Delhi,2016 Mercedes-Benz C-Class C 220 CDI Avantgarde,"₹16.50 Lakh
Compare","97,000 kms",Diesel,Automatic,N/A,https://www.cardekho.com/used-car-details/used-Mercedes-benz-c-class-c-220-cdi-avantgarde-cars-New-Delhi_5e2022d2-8e19-4eb3-ac10-3ac30ea2e535.htm?adId=4100&adType=41
New Delhi,2014 Mercedes-Benz S-Class S 500 L,"₹42.90 Lakh
Compare","80,000 kms",Petrol,Automatic,N/A,https://www.cardekho.com/used-car-details/used-Mercedes-benz-s-class-s-500-l-cars-New-Delhi_2539240f-568a-4e22-aa0c-af66e1725c03.htm
New Delhi,2022 Maruti Ertiga ZXI CNG,"₹10.65 Lakh
Compare","60,000 kms",CNG,Manual,N/A,https://www.cardekho.com/used-car-details/used-Maruti-ertiga-zxi-cng-cars-New-Delhi_41864a1a-42e5-49db-a2c2-b4de212cece9.htm
New Delhi,2018 Jeep Compass 2.0 Sport,"₹11.80 Lakh
Compare","42,000 kms",Diesel,Manual,N/A,https://www.cardekho.com/used-car-details/used-Jeep-compass-20-sport-cars-New-Delhi_4d3302f0-63a7-4e8c-ab24-63e9582c58b8.htm
New Delhi,2017 BMW 3 Series GT Luxury Line,"₹17.95 Lakh
Compare","78,000 kms",Diesel,Automatic,N/A,https://www.cardekho.com/used-car-details/used-Bmw-3-series-gt-luxury-line-cars-New-Delhi_dc460f77-80a1-43b5-af3b-c0ae8aa2c408.htm?adId=4092&adType=41
New Delhi,2017 Mercedes-Benz CLA 200 CDI Sport,"₹18.50 Lakh
Compare","45,000 kms",Diesel,Automatic,N/A,https://www.cardekho.com/used-car-details/used-Mercedes-benz-cla-200-cdi-sport-cars-New-Delhi_e59884d7-6cf2-44fb-ad80-b33bb845341a.htm
New Delhi,SUV,Price not available,N/A,N/A,N/A,N/A,https://www.cardekho.com/used-suv+cars+in+new-delhi
New Delhi,2021 Toyota Innova Crysta 2.4 G 7 STR,"₹19.95 Lakh
Compare","95,000 kms",Diesel,Manual,N/A,https://www.cardekho.com/used-car-details/used-Toyota-innova-crysta-24-g-7-str-cars-New-Delhi_845c3309-abfc-4310-b6c8-3fa476c3bfac.htm
New Delhi,2017 Audi A6 35 TDI,"₹14.50 Lakh
Compare","62,000 kms",Diesel,Automatic,N/A,https://www.cardekho.com/used-car-details/used-Audi-a6-35-tdi-cars-New-Delhi_b5f9b4c1-b884-4e41-aa5e-b0e3bcb475ef.htm
New Delhi,2016 Audi Q7 45 TDI Quattro Premium Plus,"₹24.50 Lakh
Compare","77,000 kms",Diesel,Automatic,N/A,https://www.cardekho.com/used-car-details/used-Audi-q7-45-tdi-quattro-premium-plus-cars-New-Delhi_9d704641-6439-4a20-8555-6d41a8369c2d.htm?adId=4102&adType=41
New Delhi,Gurgaon,Price not available,N/A,N/A,N/A,N/A,https://www.cardekho.com/used-cars+in+gurgaon
New Delhi,2018 Honda City i-VTEC V,"₹6.99 Lakh
Compare","27,000 kms",Petrol,Manual,N/A,https://www.cardekho.com/used-car-details/used-Honda-city-i-vtec-v-cars-New-Delhi_24cfc780-8f21-4758-a0c0-3398ad0239bd.htm
New Delhi,2019 Maruti Ciaz Delta 1.5,"₹6.25 Lakh
Compare","64,000 kms",Diesel,Manual,N/A,https://www.cardekho.com/used-car-details/used-Maruti-ciaz-delta-15-cars-New-Delhi_b29530ee-172d-43a3-85b3-a0cdcb940b08.htm
New Delhi,2021 Hyundai i20 Asta Turbo iMT,"₹7.20 Lakh
Compare","56,150 kms",Petrol,Manual,N/A,https://www.cardekho.com/used-car-details/used-Hyundai-i20-asta-turbo-imt-cars-New-Delhi_09ead439-7179-4671-adff-8a01b33e5d0a.htm
New Delhi,Used Petrol Cars,Price not available,N/A,N/A,N/A,N/A,https://www.cardekho.com/used-petrol+cars+in+new-delhi
New Delhi,2016 Audi A6 35 TDI,"₹14.95 Lakh
Compare","40,000 kms",Diesel,Automatic,N/A,https://www.cardekho.com/used-car-details/used-Audi-a6-35-tdi-cars-New-Delhi_0c11a93c-453b-43eb-8ac6-2a02f52b10b1.htm?adId=4097&adType=41
New Delhi,2013 Hyundai Verna 1.6 EX VTVT,"₹2.95 Lakh
Compare","80,000 kms",Petrol,Manual,N/A,https://www.cardekho.com/used-car-details/used-Hyundai-verna-16-ex-vtvt-cars-New-Delhi_87402e49-5543-4e73-ad28-48456349926f.htm
New Delhi,2022 Mahindra Scorpio S5,"₹13.35 Lakh
Compare","45,120 kms",Diesel,Manual,N/A,https://www.cardekho.com/used-car-details/used-Mahindra-scorpio-s5-cars-New-Delhi_d2fbc9ee-be10-4bcd-9a93-fe1a102ef672.htm
New Delhi,Used Maruti Swift,Price not available,N/A,N/A,N/A,N/A,https://www.cardekho.com/used-maruti-swift+cars+in+new-delhi
New Delhi,2016 Volkswagen Polo GT TSI,"₹5.90 Lakh
Compare","64,000 kms",Petrol,Automatic,N/A,https://www.cardekho.com/used-car-details/used-Volkswagen-polo-gt-tsi-cars-New-Delhi_5a7f398a-5092-46a4-9ca5-484e6e690241.htm
New Delhi,2016 Ford Endeavour 3.2 Titanium AT 4X4,"₹16.75 Lakh
Compare","85,000 kms",Diesel,Automatic,N/A,https://www.cardekho.com/used-car-details/used-Ford-endeavour-32-titanium-at-4x4-cars-New-Delhi_6502bd13-240a-4556-9d74-e34b44067acb.htm?adId=4093&adType=41
New Delhi,2020 Toyota Innova Crysta 2.4 ZX 7 STR AT,"₹18.50 Lakh
Compare","94,000 kms",Diesel,Automatic,N/A,https://www.cardekho.com/used-car-details/used-Toyota-innova-crysta-24-zx-7-str-at-cars-New-Delhi_0430f090-f94d-48d8-b35a-a8b227ad8a77.htm
New Delhi,2018 Maruti Ciaz Delta BSIV,"₹5.95 Lakh
Compare","68,000 kms",Petrol,Manual,N/A,https://www.cardekho.com/used-car-details/used-Maruti-ciaz-delta-bsiv-cars-New-Delhi_5b9b771b-fc2f-4f73-a780-6d8dacefe5db.htm
New Delhi,2020 Maruti Vitara Brezza ZXI,"₹7.75 Lakh
Compare","62,000 kms",Petrol,Manual,N/A,https://www.cardekho.com/used-car-details/used-Maruti-vitara-brezza-zxi-cars-New-Delhi_1b48d373-b49d-429d-8224-c8d191a72f41.htm
New Delhi,2018 Jeep Compass 1.4 Limited Plus BSIV,"₹11.75 Lakh
Compare","78,000 kms",Petrol,Automatic,N/A,https://www.cardekho.com/used-car-details/used-Jeep-compass-14-limited-plus-bsiv-cars-New-Delhi_ac0e3345-a701-461d-ae2d-b9d17b726e96.htm?adId=4075&adType=41
New Delhi,2017 Jeep Compass 1.4 Limited,"₹9.70 Lakh
Compare","75,000 kms",Petrol,Automatic,N/A,https://www.cardekho.com/used-car-details/used-Jeep-compass-14-limited-cars-New-Delhi_9bcd9b49-e13b-4bb8-96d9-2b757f323852.htm
New Delhi,2021 MG Hector Sharp AT BSIV,"₹14 Lakh
Compare","45,000 kms",Petrol,Automatic,N/A,https://www.cardekho.com/used-car-details/used-Mg-hector-sharp-at-bsiv-cars-New-Delhi_bd35a159-e02b-47c9-876a-1655b4cdc257.htm
New Delhi,2019 Lexus ES 300h Luxury,"₹43.50 Lakh
Compare","51,085 kms",Petrol,Automatic,N/A,https://www.cardekho.com/used-car-details/used-Lexus-es-300h-luxury-cars-New-Delhi_720059e1-da10-4303-8f43-44e4339ab508.htm
